shoe_type,variable,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
adrenaline,x,1,-0.016803,-0.012746,-0.0081565,-0.0032277,0.0020266,0.0087519,0.016772,0.025567,0.035447,0.046802,0.058643,0.070191,0.082558,0.095225,0.10598,0.11408,0.11925,0.11782,0.10879,0.086481,0.054125,0.017436,-0.022315,-0.06942,-0.11551,-0.15344,-0.18413,-0.21156,-0.23649,-0.25965,-0.2813,-0.30535,-0.33641,-0.37766,-0.42863,-0.48577,-0.54881,-0.62031,-0.69641,-0.77267,-0.84789,-0.92272,-0.99399,-1.0598,-1.1212,-1.1788,-1.2327,-1.2829,-1.3294,-1.3748,-1.4215,-1.4704,-1.5212,-1.5739,-1.6283,-1.6857,-1.7438,-1.7999,-1.8519,-1.9009,-1.9471,-1.9902,-2.0303,-2.0681,-2.1046,-2.1406,-2.176,-2.2105,-2.2443,-2.2778,-2.3115,-2.3455,-2.3799,-2.4142,-2.4483,-2.482,-2.516,-2.55,-2.5819,-2.6094,-2.6331,-2.6546,-2.6749,-2.6946,-2.7134,-2.7313,-2.7488,-2.7662,-2.7832,-2.7994,-2.8148,-2.8296,-2.8427,-2.8531,-2.8621,-2.8701,-2.8759,-2.879,-2.8813,-2.883,-2.8838,-2.8831,-2.8813,-2.8788,-2.876,-2.8716,-2.8658,-2.8591,-2.8508,-2.8402,-2.8281,-2.8156,-2.8024,-2.7882,-2.773,-2.7568,-2.739,-2.7195,-2.6986,-2.6763,-2.6528,-2.6285,-2.6032,-2.5766,-2.5483,-2.5186,-2.4874,-2.4547,-2.4209,-2.3862,-2.3505,-2.3142,-2.2774,-2.2401,-2.2022,-2.1637,-2.1244,-2.0839,-2.0422,-1.9993,-1.9554,-1.9111,-1.8672,-1.8238,-1.7804,-1.7363,-1.6914,-1.646,-1.6004,-1.5553,-1.5103,-1.4652,-1.4197,-1.3743,-1.3295,-1.2852,-1.2411,-1.1969,-1.1527,-1.1088,-1.0658,-1.0242,-0.98414,-0.94523,-0.90713,-0.86956,-0.83252,-0.79635,-0.76142,-0.72769,-0.6951,-0.66364,-0.63316,-0.60349,-0.57413,-0.54502,-0.51627,-0.48833,-0.46157,-0.43628,-0.41221,-0.38918,-0.36677,-0.34463,-0.32262,-0.30117,-0.28074,-0.26147,-0.24317,-0.22589,-0.20954,-0.1939,-0.17887,-0.16433,-0.15019,-0.13673,-0.12428,-0.11284,-0.10199,-0.091835,-0.082491
adrenaline,x,2,0.0080245,0.024968,0.041844,0.058456,0.074849,0.091595,0.10816,0.12404,0.14075,0.15645,0.16792,0.17597,0.18357,0.18824,0.18742,0.18075,0.17013,0.15694,0.13609,0.10647,0.070979,0.024516,-0.039655,-0.10795,-0.16908,-0.23156,-0.28873,-0.32745,-0.35295,-0.37534,-0.39209,-0.40137,-0.4069,-0.4122,-0.42252,-0.45347,-0.4999,-0.55143,-0.6119,-0.68654,-0.7657,-0.84162,-0.91608,-0.98981,-1.0597,-1.1246,-1.1865,-1.2473,-1.3066,-1.3641,-1.4208,-1.4784,-1.5375,-1.5967,-1.6543,-1.7103,-1.7649,-1.8182,-1.8705,-1.9218,-1.9716,-2.0188,-2.0633,-2.1061,-2.1486,-2.1912,-2.2336,-2.2755,-2.317,-2.3583,-2.3992,-2.4394,-2.4794,-2.5192,-2.5591,-2.5987,-2.6377,-2.675,-2.7102,-2.7431,-2.7736,-2.8015,-2.8268,-2.8497,-2.871,-2.8915,-2.9119,-2.932,-2.9514,-2.97,-2.9879,-3.0055,-3.0221,-3.0373,-3.0505,-3.0622,-3.0723,-3.08,-3.086,-3.09,-3.0927,-3.0941,-3.0943,-3.0933,-3.0909,-3.0874,-3.0823,-3.0757,-3.0668,-3.0561,-3.0439,-3.0305,-3.0154,-2.999,-2.9813,-2.9624,-2.9421,-2.9207,-2.8982,-2.8744,-2.8492,-2.8226,-2.7948,-2.7659,-2.7359,-2.7045,-2.6716,-2.6372,-2.6012,-2.5639,-2.5254,-2.4861,-2.446,-2.4051,-2.3636,-2.3212,-2.2774,-2.232,-2.185,-2.1369,-2.0881,-2.0387,-1.9889,-1.9389,-1.8889,-1.8387,-1.7879,-1.736,-1.6831,-1.6297,-1.5763,-1.523,-1.4697,-1.4164,-1.3632,-1.31,-1.2574,-1.2054,-1.1538,-1.1026,-1.0518,-1.0014,-0.95198,-0.90437,-0.85845,-0.81392,-0.77075,-0.72885,-0.68799,-0.6484,-0.61033,-0.57371,-0.53875,-0.50582,-0.47486,-0.44552,-0.41717,-0.38928,-0.36185,-0.33523,-0.30973,-0.28501,-0.2614,-0.2397,-0.2199,-0.20144,-0.18469,-0.16988,-0.15659,-0.14449,-0.1333,-0.12285,-0.11304,-0.1037,-0.094541,-0.085518,-0.077265,-0.070318,-0.064108,-0.058588,-0.053952
adrenaline,x,3,0.027186,0.041617,0.055635,0.06858,0.081207,0.096636,0.10941,0.11292,0.092092,0.05017,0.00056942,-0.058139,-0.14153,-0.22637,-0.29126,-0.35316,-0.40695,-0.43608,-0.44339,-0.44635,-0.44829,-0.45205,-0.46061,-0.47361,-0.48993,-0.51906,-0.56386,-0.61661,-0.67643,-0.75206,-0.83327,-0.90884,-0.98179,-1.0522,-1.1146,-1.1672,-1.2138,-1.2568,-1.2982,-1.3374,-1.3756,-1.4147,-1.4555,-1.4968,-1.5374,-1.5769,-1.6156,-1.6532,-1.6893,-1.7236,-1.7574,-1.7919,-1.8279,-1.8649,-1.9009,-1.9349,-1.9675,-1.998,-2.0245,-2.0471,-2.0669,-2.0857,-2.1043,-2.123,-2.1424,-2.1635,-2.1863,-2.2107,-2.2358,-2.2617,-2.2883,-2.3147,-2.3402,-2.365,-2.3889,-2.4121,-2.4349,-2.4572,-2.4792,-2.5008,-2.5217,-2.5418,-2.5608,-2.5789,-2.5962,-2.6123,-2.6272,-2.641,-2.6542,-2.667,-2.6795,-2.6916,-2.7029,-2.7133,-2.7228,-2.7313,-2.7391,-2.746,-2.7521,-2.7572,-2.7617,-2.7651,-2.7671,-2.7673,-2.7659,-2.7635,-2.7592,-2.7528,-2.7447,-2.7357,-2.7259,-2.7154,-2.7039,-2.6907,-2.6759,-2.6597,-2.6424,-2.624,-2.6048,-2.5844,-2.5628,-2.54,-2.5163,-2.4917,-2.4663,-2.4403,-2.4138,-2.3866,-2.3585,-2.3292,-2.2985,-2.2663,-2.2329,-2.1983,-2.1624,-2.1256,-2.0877,-2.049,-2.0097,-1.9699,-1.9296,-1.8885,-1.8465,-1.8036,-1.7601,-1.7161,-1.6715,-1.626,-1.5798,-1.5333,-1.4867,-1.4398,-1.3929,-1.3462,-1.2996,-1.253,-1.2065,-1.1598,-1.113,-1.0664,-1.0199,-0.97326,-0.92683,-0.88078,-0.83507,-0.79017,-0.74657,-0.70395,-0.66225,-0.62194,-0.58321,-0.54587,-0.51011,-0.47609,-0.44337,-0.41204,-0.38241,-0.35454,-0.32808,-0.30307,-0.2795,-0.2572,-0.23616,-0.21642,-0.19762,-0.17981,-0.16354,-0.1491,-0.13601,-0.12391,-0.1125,-0.10163,-0.091396,-0.081918,-0.073192,-0.065024,-0.057449,-0.050481,-0.043943,-0.037855,-0.032298
adrenaline,x,4,0.001642,0.012641,0.025585,0.040111,0.056285,0.07505,0.095669,0.11737,0.1411,0.16631,0.19169,0.21869,0.24733,0.27193,0.28902,0.30431,0.31556,0.31896,0.31564,0.30836,0.2993,0.28761,0.27139,0.25267,0.23317,0.21063,0.18432,0.15405,0.11771,0.074637,0.027993,-0.021908,-0.076356,-0.13388,-0.19229,-0.25147,-0.31193,-0.37467,-0.44246,-0.51537,-0.58943,-0.66317,-0.73775,-0.81137,-0.88142,-0.94836,-1.0128,-1.0765,-1.1403,-1.2053,-1.2717,-1.3401,-1.4089,-1.4771,-1.5432,-1.6075,-1.6698,-1.7307,-1.7911,-1.8516,-1.9119,-1.972,-2.0321,-2.0917,-2.1499,-2.2061,-2.26,-2.3121,-2.3626,-2.4122,-2.461,-2.5093,-2.557,-2.6044,-2.6513,-2.6976,-2.7419,-2.7831,-2.8219,-2.8581,-2.8914,-2.9221,-2.9511,-2.979,-3.0062,-3.0325,-3.0584,-3.0844,-3.1103,-3.136,-3.1612,-3.1859,-3.2093,-3.2304,-3.2484,-3.2651,-3.2798,-3.292,-3.3025,-3.3114,-3.3185,-3.3241,-3.3286,-3.3317,-3.3337,-3.3353,-3.3356,-3.3335,-3.3289,-3.3226,-3.3145,-3.3029,-3.2869,-3.2683,-3.2484,-3.2255,-3.2006,-3.1746,-3.1474,-3.1188,-3.0889,-3.0578,-3.025,-2.9908,-2.9555,-2.9191,-2.8812,-2.8418,-2.801,-2.759,-2.7162,-2.6723,-2.627,-2.5804,-2.5326,-2.4836,-2.4335,-2.3822,-2.3296,-2.2761,-2.2222,-2.1679,-2.1132,-2.0582,-2.003,-1.9478,-1.8925,-1.8371,-1.7814,-1.7255,-1.6694,-1.6129,-1.5565,-1.5007,-1.4459,-1.3916,-1.3382,-1.2857,-1.2342,-1.1835,-1.1333,-1.0835,-1.0344,-0.98667,-0.94057,-0.89583,-0.85239,-0.8101,-0.76883,-0.72883,-0.69037,-0.6533,-0.61764,-0.58359,-0.55116,-0.52015,-0.49035,-0.46156,-0.43377,-0.40696,-0.38105,-0.35563,-0.33094,-0.30778,-0.28667,-0.26718,-0.24876,-0.23088,-0.21359,-0.1969,-0.18068,-0.1645,-0.14865,-0.134,-0.12107,-0.10924,-0.098322,-0.088189,-0.078672,-0.069821,-0.061726
adrenaline,x,5,0.0068866,0.013703,0.02118,0.029123,0.037547,0.046802,0.056801,0.067554,0.0798,0.09299,0.10617,0.11973,0.13387,0.14632,0.15587,0.16377,0.16938,0.17127,0.17074,0.16814,0.16423,0.15843,0.15061,0.14121,0.13047,0.11824,0.10451,0.089662,0.073544,0.054642,0.031375,0.0027554,-0.030664,-0.069099,-0.11276,-0.16112,-0.21167,-0.26449,-0.32023,-0.37654,-0.43195,-0.48694,-0.54146,-0.59637,-0.65279,-0.70964,-0.76623,-0.82306,-0.88103,-0.93936,-0.99692,-1.0533,-1.1095,-1.1667,-1.2257,-1.2853,-1.344,-1.4016,-1.4582,-1.5132,-1.5659,-1.6169,-1.6664,-1.7141,-1.7597,-1.8031,-1.8444,-1.8838,-1.9218,-1.9595,-1.9978,-2.0364,-2.0745,-2.1117,-2.1481,-2.1841,-2.2199,-2.2552,-2.2896,-2.323,-2.3557,-2.3872,-2.4173,-2.4459,-2.4732,-2.4996,-2.5251,-2.5495,-2.5727,-2.5951,-2.6171,-2.639,-2.6608,-2.6819,-2.7019,-2.7204,-2.7378,-2.7545,-2.7701,-2.7845,-2.798,-2.8102,-2.821,-2.8309,-2.8402,-2.8488,-2.8564,-2.863,-2.8687,-2.8734,-2.8779,-2.8817,-2.8844,-2.8847,-2.8827,-2.8789,-2.8741,-2.8678,-2.8592,-2.8487,-2.8366,-2.823,-2.8075,-2.7892,-2.7687,-2.7465,-2.723,-2.6982,-2.6718,-2.6438,-2.6145,-2.5838,-2.552,-2.519,-2.4848,-2.4493,-2.4126,-2.3753,-2.3375,-2.2986,-2.2585,-2.2173,-2.1752,-2.1324,-2.0889,-2.0445,-1.999,-1.953,-1.9066,-1.8596,-1.8121,-1.7641,-1.7156,-1.6666,-1.6175,-1.5682,-1.5188,-1.4693,-1.4196,-1.3698,-1.32,-1.2699,-1.2197,-1.1696,-1.1204,-1.0724,-1.0255,-0.97969,-0.9352,-0.89177,-0.8494,-0.80798,-0.76749,-0.72796,-0.68973,-0.65304,-0.61808,-0.58454,-0.55184,-0.51979,-0.48865,-0.4588,-0.43012,-0.40251,-0.37569,-0.34969,-0.32476,-0.30097,-0.27806,-0.25627,-0.236,-0.21705,-0.19935,-0.18314,-0.16846,-0.15489,-0.14207,-0.12967,-0.11769,-0.10621,-0.095273
adrenaline,x,6,-0.021061,-0.01712,-0.012264,-0.0066824,0.00051368,0.0099875,0.020605,0.031987,0.044807,0.059272,0.076291,0.097259,0.11973,0.14195,0.16506,0.18587,0.20143,0.2145,0.22417,0.2271,0.22536,0.22187,0.21712,0.20885,0.19649,0.18198,0.16457,0.14138,0.11306,0.080654,0.046501,0.011503,-0.024676,-0.064043,-0.10819,-0.15729,-0.21024,-0.2669,-0.32892,-0.39644,-0.46989,-0.54927,-0.62956,-0.70719,-0.78299,-0.85378,-0.91473,-0.96742,-1.0163,-1.0653,-1.114,-1.1624,-1.2125,-1.2654,-1.3196,-1.3731,-1.4255,-1.4771,-1.5274,-1.5769,-1.6256,-1.673,-1.7184,-1.7624,-1.8054,-1.8474,-1.8882,-1.9284,-1.9685,-2.0085,-2.0482,-2.0883,-2.1289,-2.1695,-2.2094,-2.2486,-2.287,-2.324,-2.3592,-2.3924,-2.4225,-2.4495,-2.4747,-2.4987,-2.522,-2.5446,-2.5666,-2.5886,-2.6105,-2.6324,-2.654,-2.6749,-2.6951,-2.7145,-2.7327,-2.7494,-2.7646,-2.7789,-2.7922,-2.8043,-2.8151,-2.8253,-2.8353,-2.845,-2.8544,-2.8636,-2.8724,-2.8798,-2.8854,-2.8897,-2.8932,-2.8961,-2.898,-2.8985,-2.8975,-2.8945,-2.8897,-2.8833,-2.8745,-2.8638,-2.8518,-2.838,-2.8222,-2.8047,-2.7852,-2.7636,-2.7409,-2.7174,-2.6927,-2.6672,-2.6414,-2.6153,-2.5885,-2.5603,-2.5301,-2.4982,-2.4648,-2.4299,-2.3935,-2.3558,-2.3168,-2.2768,-2.236,-2.1937,-2.1498,-2.1046,-2.0588,-2.0124,-1.9655,-1.9176,-1.8686,-1.8185,-1.7676,-1.7158,-1.6636,-1.6108,-1.5574,-1.5043,-1.4519,-1.3997,-1.3477,-1.2963,-1.2458,-1.1961,-1.1464,-1.0964,-1.0465,-0.99767,-0.95022,-0.9042,-0.85927,-0.81514,-0.77196,-0.73026,-0.69016,-0.65177,-0.6147,-0.57877,-0.54396,-0.51046,-0.47796,-0.44629,-0.4153,-0.38546,-0.35728,-0.33066,-0.30498,-0.28054,-0.2579,-0.23695,-0.21731,-0.1987,-0.18099,-0.16424,-0.14836,-0.13283,-0.11824,-0.10555,-0.094413,-0.084476,-0.076014
adrenaline,x,7,-0.021087,-0.021388,-0.020785,-0.019446,-0.016858,-0.011389,-0.0040703,0.0041987,0.017504,0.03359,0.047337,0.058264,0.068857,0.076177,0.077628,0.068169,0.050287,0.028134,-0.0045684,-0.047571,-0.091476,-0.13507,-0.18186,-0.22361,-0.25522,-0.28084,-0.30198,-0.31933,-0.33501,-0.35031,-0.36806,-0.3911,-0.42786,-0.47389,-0.5244,-0.58105,-0.64138,-0.69957,-0.75373,-0.80321,-0.84765,-0.89034,-0.93239,-0.97533,-1.0201,-1.0675,-1.1174,-1.1682,-1.2187,-1.2691,-1.3194,-1.3695,-1.4196,-1.4689,-1.5163,-1.5615,-1.6052,-1.6477,-1.6889,-1.7286,-1.7664,-1.8022,-1.8361,-1.8687,-1.9013,-1.9346,-1.9683,-2.0019,-2.0348,-2.0679,-2.101,-2.1336,-2.1652,-2.1959,-2.2253,-2.2531,-2.2788,-2.303,-2.3266,-2.35,-2.3733,-2.3961,-2.418,-2.439,-2.4591,-2.4784,-2.4971,-2.5151,-2.5324,-2.549,-2.565,-2.5797,-2.5925,-2.6042,-2.6148,-2.6241,-2.6329,-2.6412,-2.6481,-2.6522,-2.6539,-2.6535,-2.6516,-2.6476,-2.6417,-2.6342,-2.625,-2.6132,-2.5992,-2.5835,-2.5652,-2.5446,-2.5227,-2.4995,-2.4756,-2.4513,-2.4265,-2.4011,-2.375,-2.3479,-2.3197,-2.2901,-2.2593,-2.2274,-2.1947,-2.1616,-2.1283,-2.0946,-2.0601,-2.0248,-1.9883,-1.9511,-1.9132,-1.8748,-1.8357,-1.796,-1.7563,-1.7167,-1.677,-1.6369,-1.5963,-1.5561,-1.5168,-1.4782,-1.4396,-1.4002,-1.36,-1.3192,-1.2786,-1.2389,-1.2007,-1.1636,-1.127,-1.0901,-1.0529,-1.0158,-0.97906,-0.94295,-0.90745,-0.8729,-0.83935,-0.80639,-0.77397,-0.74241,-0.71203,-0.68256,-0.65364,-0.62511,-0.59717,-0.56997,-0.5436,-0.51787,-0.4927,-0.46805,-0.44392,-0.42026,-0.39711,-0.37447,-0.35232,-0.33061,-0.30922,-0.28773,-0.26663,-0.24682,-0.22866,-0.21149,-0.19514,-0.1795,-0.16447,-0.15035,-0.13748,-0.12577,-0.11483,-0.10435,-0.093888,-0.083354,-0.073653,-0.065636,-0.058613,-0.052448,-0.047393
adrenaline,x,8,-0.026683,-0.023258,-0.01812,-0.011852,-0.0039493,0.0064125,0.018144,0.030791,0.045208,0.061196,0.078806,0.098668,0.12029,0.14373,0.1706,0.19799,0.22302,0.24804,0.27131,0.29016,0.30786,0.32364,0.33451,0.33717,0.33191,0.3216,0.30563,0.2828,0.25701,0.22402,0.18091,0.1365,0.093027,0.046836,0.0016746,-0.040756,-0.081652,-0.12145,-0.16129,-0.20368,-0.24782,-0.29222,-0.33852,-0.38718,-0.43782,-0.49151,-0.54717,-0.60322,-0.66037,-0.71729,-0.77174,-0.82353,-0.87414,-0.92513,-0.97721,-1.0297,-1.0812,-1.1314,-1.1806,-1.2283,-1.2743,-1.3187,-1.3619,-1.4039,-1.4449,-1.4854,-1.5255,-1.5654,-1.6047,-1.6429,-1.6796,-1.7151,-1.7499,-1.7842,-1.8178,-1.8505,-1.882,-1.9124,-1.942,-1.9713,-2.0002,-2.0285,-2.0564,-2.084,-2.1109,-2.1365,-2.1609,-2.1837,-2.2051,-2.2252,-2.2443,-2.2627,-2.2802,-2.2968,-2.3127,-2.3285,-2.3438,-2.3579,-2.3712,-2.3839,-2.3959,-2.4068,-2.4164,-2.4246,-2.4316,-2.4377,-2.4426,-2.4463,-2.4495,-2.4521,-2.4534,-2.4528,-2.451,-2.4479,-2.4414,-2.432,-2.4214,-2.4083,-2.3926,-2.3752,-2.3563,-2.3361,-2.3149,-2.2928,-2.2698,-2.2462,-2.2219,-2.1968,-2.1705,-2.1431,-2.1146,-2.0849,-2.0538,-2.0213,-1.9878,-1.9538,-1.919,-1.8831,-1.846,-1.8077,-1.7684,-1.7289,-1.6891,-1.6488,-1.6077,-1.5655,-1.5223,-1.4792,-1.4365,-1.3939,-1.3516,-1.3093,-1.2669,-1.2246,-1.1829,-1.1417,-1.1008,-1.0601,-1.0194,-0.97892,-0.93867,-0.89847,-0.85889,-0.8205,-0.78298,-0.74634,-0.71079,-0.67629,-0.64277,-0.61032,-0.57894,-0.54854,-0.51882,-0.48934,-0.4604,-0.43264,-0.40638,-0.38115,-0.35668,-0.33282,-0.30971,-0.28746,-0.26587,-0.24468,-0.22485,-0.20715,-0.19097,-0.17597,-0.16198,-0.14899,-0.13666,-0.12452,-0.11218,-0.10046,-0.090365,-0.081729,-0.073922,-0.066509,-0.059245,-0.052225,-0.045555
adrenaline,x,9,-0.0091866,-0.0017259,0.0080656,0.019274,0.032717,0.049699,0.068688,0.089166,0.11234,0.13732,0.16458,0.19687,0.22694,0.24806,0.26503,0.27728,0.28118,0.27293,0.25243,0.22387,0.18389,0.13151,0.076227,0.018932,-0.042764,-0.098444,-0.14138,-0.17727,-0.20462,-0.22035,-0.22613,-0.22874,-0.23773,-0.25684,-0.28831,-0.32998,-0.38146,-0.44511,-0.51571,-0.58657,-0.65822,-0.72907,-0.79526,-0.85597,-0.9125,-0.96534,-1.0153,-1.0635,-1.1128,-1.1646,-1.2182,-1.273,-1.3283,-1.3843,-1.4393,-1.4916,-1.5413,-1.588,-1.6314,-1.6721,-1.7106,-1.7477,-1.7838,-1.8195,-1.8556,-1.8917,-1.9274,-1.9611,-1.9925,-2.0218,-2.0501,-2.0783,-2.1067,-2.1358,-2.1662,-2.198,-2.2307,-2.263,-2.2946,-2.3259,-2.3561,-2.3843,-2.4106,-2.4345,-2.4557,-2.4747,-2.492,-2.5083,-2.5237,-2.5377,-2.5497,-2.5599,-2.5684,-2.5754,-2.5813,-2.5865,-2.591,-2.5948,-2.5979,-2.6001,-2.6012,-2.6008,-2.599,-2.5959,-2.5916,-2.5857,-2.5782,-2.5695,-2.5589,-2.5466,-2.5326,-2.517,-2.5,-2.4813,-2.461,-2.4392,-2.4161,-2.3915,-2.3652,-2.3378,-2.3099,-2.2815,-2.2521,-2.2215,-2.1897,-2.1571,-2.1238,-2.0901,-2.0554,-2.0198,-1.9831,-1.9453,-1.9068,-1.8673,-1.8266,-1.7849,-1.743,-1.7012,-1.6592,-1.6167,-1.5735,-1.5299,-1.486,-1.4414,-1.3962,-1.3507,-1.3054,-1.2601,-1.2151,-1.1703,-1.1258,-1.0816,-1.0381,-0.99528,-0.95267,-0.9099,-0.86664,-0.82352,-0.78136,-0.74044,-0.70074,-0.66244,-0.62547,-0.58963,-0.55476,-0.5208,-0.48757,-0.45538,-0.42472,-0.39585,-0.36865,-0.34286,-0.31858,-0.2959,-0.27452,-0.25404,-0.23435,-0.21553,-0.19761,-0.1802,-0.16366,-0.14891,-0.13611,-0.12468,-0.11411,-0.10425,-0.095083,-0.086349,-0.077651,-0.068952,-0.060982,-0.054382,-0.048693,-0.043618,-0.039025,-0.034759,-0.030959,-0.0278,-0.02502,-0.022564,-0.020559
adrenaline,x,10,0.0041195,0.012948,0.023631,0.035746,0.049702,0.065948,0.084235,0.10551,0.12956,0.15513,0.18362,0.21349,0.24073,0.26661,0.28965,0.30508,0.31558,0.32313,0.32523,0.32179,0.3158,0.30935,0.30162,0.29117,0.27606,0.25433,0.22511,0.18642,0.1374,0.083284,0.028361,-0.025622,-0.076839,-0.12623,-0.17307,-0.21485,-0.25215,-0.28796,-0.32476,-0.36305,-0.40391,-0.44955,-0.50134,-0.55613,-0.61164,-0.66687,-0.71996,-0.76989,-0.81617,-0.85914,-0.8997,-0.93962,-0.98011,-1.0213,-1.0628,-1.1047,-1.1471,-1.1891,-1.23,-1.2695,-1.3082,-1.3465,-1.3842,-1.4215,-1.4589,-1.4971,-1.5367,-1.5783,-1.6205,-1.6611,-1.6995,-1.7361,-1.7714,-1.8058,-1.8392,-1.8716,-1.9029,-1.9327,-1.9612,-1.9885,-2.0146,-2.0398,-2.0644,-2.0886,-2.1124,-2.1361,-2.1601,-2.1842,-2.2083,-2.2316,-2.2537,-2.2748,-2.2949,-2.3139,-2.3322,-2.3491,-2.3644,-2.3786,-2.3915,-2.4029,-2.4133,-2.4228,-2.431,-2.438,-2.4438,-2.4479,-2.4505,-2.4517,-2.4506,-2.4466,-2.44,-2.4325,-2.4239,-2.4138,-2.4022,-2.3884,-2.373,-2.357,-2.34,-2.3217,-2.3023,-2.2818,-2.2605,-2.2391,-2.2177,-2.1954,-2.1717,-2.1466,-2.1204,-2.0927,-2.0632,-2.0327,-2.0017,-1.9703,-1.938,-1.9051,-1.8716,-1.8379,-1.8042,-1.7696,-1.7337,-1.6965,-1.6587,-1.6206,-1.5826,-1.5446,-1.5068,-1.4688,-1.4305,-1.3922,-1.3541,-1.3161,-1.2782,-1.2402,-1.202,-1.1635,-1.1249,-1.0865,-1.0485,-1.0109,-0.97369,-0.93681,-0.90034,-0.86448,-0.82932,-0.79459,-0.76019,-0.72654,-0.69399,-0.66244,-0.63146,-0.60068,-0.57012,-0.5401,-0.51102,-0.48286,-0.45569,-0.42983,-0.40546,-0.38207,-0.35888,-0.33552,-0.31251,-0.2905,-0.26965,-0.25007,-0.23169,-0.21427,-0.19752,-0.18108,-0.16502,-0.15001,-0.13649,-0.12404,-0.11228,-0.10092,-0.090023,-0.079624,-0.069676,-0.060142,-0.051061
